"SUPPORT_NIVEAU_PRELEVEMENT","DATASET_DEPTH_KEY"
"Niveau : 2 mètres","2Meters"
"Niveau : Couche superficielle (5-10 cm)","5To10Centimeters"
"Niveau : Fond","Bottom"
"Niveau : Fond-sonde-1m","BottomProbe1Meter"
"Niveau : Mi-profondeur","HalfBottom"
"Niveau : Surface (0-1m)","0To1Meter"
"Niveau : Surface-Fond (profondeur <3 m)","LessThan3Meters"
"Niveau : de 11 à 15 mètres","11To15Meters"
"Niveau : de 3 à 5 mètres","3To5Meters"
"Niveau : de 6 à 10 mètres","6To10Meters"
"Support : Bivalve - Crassostrea gigas (huître creuse) - Niveau : Fond-sonde-1m","BottomProbe1Meter"
"Support : Bivalve - Crassostrea gigas (huître creuse) - Niveau : Mi-profondeur","HalfBottom"
"Support : Bivalve - Crassostrea gigas (huître creuse) - Niveau : Surface (0-1m)","0To1Meter"
"Support : Bivalve - Mytilus galloprovincialis (moule méditerranéenne) - Niveau : Surface (0-1m)","0To1Meter"
"Support : Bivalve - Ruditapes decussatus (palourde grise) - Niveau : Fond-sonde-1m","BottomProbe1Meter"
"Support : Eau filtrée","Unknown"
"Support : Eau filtrée - Niveau : Fond-sonde-1m","BottomProbe1Meter"
"Support : Eau filtrée - Niveau : Surface (0-1m)","0To1Meter"
"Support : Eau filtrée - Niveau : Surface-Fond (profondeur <3 m)","LessThan3Meters"
"Support : Masse d'eau, eau brute","Unknown"
"Support : Masse d'eau, eau brute - Niveau : 2 mètres","2Meters"
"Support : Masse d'eau, eau brute - Niveau : Couche superficielle (5-10 cm)","5To10Centimeters"
"Support : Masse d'eau, eau brute - Niveau : Fond-sonde-1m","BottomProbe1Meter"
"Support : Masse d'eau, eau brute - Niveau : Mi-profondeur","HalfBottom"
"Support : Masse d'eau, eau brute - Niveau : Surface (0-1m)","0To1Meter"
"Support : Masse d'eau, eau brute - Niveau : Surface-Fond (profondeur <3 m)","LessThan3Meters"
"Support : Masse d'eau, eau brute - Niveau : de 11 à 15 mètres","11To15Meters"
"Support : Masse d'eau, eau brute - Niveau : de 3 à 5 mètres","3To5Meters"
"Support : Sédiment, substrat meuble","Unknown"
"Support : Sédiment, substrat meuble - Niveau : Couche superficielle (5-10 cm)","5To10Centimeters"
"Support : Sédiment, substrat meuble - Niveau : Horizon 1","Horizon1"
"Support : Sédiment, substrat meuble - Niveau : Horizon 10","Horizon10"
"Support : Sédiment, substrat meuble - Niveau : Horizon 11","Horizon11"
"Support : Sédiment, substrat meuble - Niveau : Horizon 12","Horizon12"
"Support : Sédiment, substrat meuble - Niveau : Horizon 13","Horizon13"
"Support : Sédiment, substrat meuble - Niveau : Horizon 14","Horizon14"
"Support : Sédiment, substrat meuble - Niveau : Horizon 15","Horizon15"
"Support : Sédiment, substrat meuble - Niveau : Horizon 16","Horizon16"
"Support : Sédiment, substrat meuble - Niveau : Horizon 2","Horizon2"
"Support : Sédiment, substrat meuble - Niveau : Horizon 3","Horizon3"
"Support : Sédiment, substrat meuble - Niveau : Horizon 4","Horizon4"
"Support : Sédiment, substrat meuble - Niveau : Horizon 5","Horizon5"
"Support : Sédiment, substrat meuble - Niveau : Horizon 6","Horizon6"
"Support : Sédiment, substrat meuble - Niveau : Horizon 7","Horizon7"
"Support : Sédiment, substrat meuble - Niveau : Horizon 8","Horizon!"
"Support : Sédiment, substrat meuble - Niveau : Horizon 9","Horizon9"
"Support et Niveau : Sans Objet","NotApplicable"
